Trial,teacher_word,student_word,related,type
1,girl.wav,boy.wav,Y,exp
2,mitten.wav,glove.wav,Y,exp
3,toe.wav,foot.wav,Y,exp
4,leaf.wav,tree.wav,Y,exp
5,airport.wav,plane.wav,Y,exp
6,garage.wav,car.wav,Y,exp
7,trash.wav,garbage.wav,Y,exp
8,loaf.wav,bread.wav,Y,exp
9,bounce.wav,ball.wav,Y,exp
10,macaroni.wav,cheese.wav,Y,exp
11,breeze.wav,wind.wav,Y,exp
12,beetle.wav,bug.wav,Y,exp
13,comb.wav,brush.wav,Y,exp
14,knob.wav,door.wav,Y,exp
15,nest.wav,bird.wav,Y,exp
16,umbrella.wav,rain.wav,Y,exp
17,bunny.wav,rabbit.wav,Y,exp
18,brother.wav,sister.wav,Y,exp
19,table.wav,chair.wav,Y,exp
20,thread.wav,needle.wav,Y,exp
21,library.wav,book.wav,Y,exp
22,hive.wav,bee.wav,Y,exp
23,meow.wav,cat.wav,Y,exp
24,moo.wav,cow.wav,Y,exp
25,knob.wav,turkey.wav,N,exp
26,loaf.wav,space.wav,N,exp
27,nest.wav,police.wav,N,exp
28,mitten.wav,doctor.wav,N,exp
29,nurse.wav,box.wav,N,exp
30,girl.wav,ketchup.wav,N,exp
31,bunny.wav,present.wav,N,exp
32,library.wav,horn.wav,N,exp
33,cop.wav,glue.wav,N,exp
34,salt.wav,leg.wav,N,exp
35,toad.wav,pen.wav,N,exp
36,crib.wav,pepper.wav,N,exp
37,leaf.wav,beach.wav,N,exp
38,cardboard.wav,uncle.wav,N,exp
39,umbrella.wav,queen.wav,N,exp
40,meow.wav,nail.wav,N,exp
41,comb.wav,frog.wav,N,exp
42,thread.wav,baby.wav,N,exp
43,trash.wav,wife.wav,N,exp
44,paste.wav,bed.wav,N,exp
45,garage.wav,water.wav,N,exp
46,beetle.wav,mother.wav,N,exp
47,mustard.wav,horse.wav,N,exp
48,breeze.wav,clown.wav,N,exp
49,pail.wav,bucket.wav,Y,word_filler
50,eraser.wav,pencil.wav,Y,word_filler
51,loser.wav,winner.wav,Y,word_filler
52,town.wav,city.wav,Y,word_filler
53,jacket.wav,coat.wav,Y,word_filler
54,dial.wav,phone.wav,Y,word_filler
55,cub.wav,bear.wav,Y,word_filler
56,bubble.wav,gum.wav,Y,word_filler
57,crocodile.wav,alligator.wav,Y,word_filler
58,fudge.wav,chocolate.wav,Y,word_filler
59,circle.wav,square.wav,Y,word_filler
60,juice.wav,orange.wav,Y,word_filler
61,man.wav,woman.wav,Y,word_filler
62,lime.wav,lemon.wav,Y,word_filler
63,washer.wav,dryer.wav,Y,word_filler
64,icing.wav,cake.wav,Y,word_filler
65,thunder.wav,lightning.wav,Y,word_filler
66,cap.wav,hat.wav,Y,word_filler
67,web.wav,spider.wav,Y,word_filler
68,hen.wav,chicken.wav,Y,word_filler
69,envelope.wav,letter.wav,Y,word_filler
70,tortoise.wav,turtle.wav,Y,word_filler
71,antler.wav,deer.wav,Y,word_filler
72,film.wav,movie.wav,Y,word_filler
73,blackboard.wav,atha.wav,N,nonword
74,lollipop.wav,eeg.wav,N,nonword
75,crust.wav,oolop.wav,N,nonword
76,grape.wav,spez.wav,N,nonword
77,chimney.wav,oja.wav,N,nonword
78,broom.wav,thag.wav,N,nonword
79,owl.wav,mig.wav,N,nonword
80,spaghetti.wav,rilk.wav,N,nonword
81,flashlight.wav,pab.wav,N,nonword
82,feather.wav,zorg.wav,N,nonword
83,puzzle.wav,silzam.wav,N,nonword
84,chalk.wav,vion.wav,N,nonword
85,arrow.wav,yag.wav,N,nonword
86,banana.wav,haldo.wav,N,nonword
87,battery.wav,suling.wav,N,nonword
88,tub.wav,squaim.wav,N,nonword
89,lamp.wav,fleb.wav,N,nonword
90,barn.wav,gleebo.wav,N,nonword
91,corn.wav,ubu.wav,N,nonword
92,exit.wav,plip.wav,N,nonword
93,guitar.wav,omi.wav,N,nonword
94,mouse.wav,dooplap.wav,N,nonword
95,bowl.wav,crozzle.wav,N,nonword
96,snake.wav,klex.wav,N,nonword
97,flower.wav,wado.wav,N,nonword
98,tail.wav,spargy.wav,N,nonword
99,duck.wav,loodon.wav,N,nonword
100,dirt.wav,plab.wav,N,nonword
101,ocean.wav,dax.wav,N,nonword
102,snow.wav,razap.wav,N,nonword
103,map.wav,deeb.wav,N,nonword
104,monkey.wav,wilg.wav,N,nonword
105,candy.wav,doku.wav,N,nonword
106,football.wav,zorn.wav,N,nonword
107,planet.wav,tribib.wav,N,nonword
108,island.wav,meeki.wav,N,nonword
109,desk.wav,lalbro.wav,N,nonword
110,teacher.wav,hud.wav,N,nonword
111,camera.wav,agow.wav,N,nonword
112,sun.wav,wabbroon.wav,N,nonword
113,art.wav,jono.wav,N,nonword
114,bus.wav,geep.wav,N,nonword
115,star.wav,toma.wav,N,nonword
116,fish.wav,songle.wav,N,nonword
117,test.wav,yark.wav,N,nonword
118,rock.wav,naff.wav,N,nonword
119,hound.wav,ibi.wav,N,nonword
120,shark.wav,dowa.wav,N,nonword
